dataset,ExptNo_norm,PM_noF1,Tsub,x,G_kg_m2s,scope,old86_member,yellow_candidate_handregion,high_PM_cluster,x_band4,G_band3,policy_class,PWR_G_upper_scope,deep_subcooled,PM_ge_2p2
current187_noF1,149.01,1.8285357968013456,123.82415099235055,-0.227,5696.166,current_only,False,False,False,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,False
current187_noF1,220.01,1.805670980123908,107.23353575437028,-0.205,4773.9296,current_only,False,False,False,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,False
current187_noF1,228.01,2.2513188727177327,167.79934002889797,-0.334,5221.4855,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,230.01,2.240059187883798,166.72139836705657,-0.336,5316.4216,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,232.01,2.295350562373408,179.43354523161798,-0.362,5397.7954,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,234.01,2.4970877438604004,227.8755003580036,-0.457,5574.1053,current_only,False,False,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,243.01,1.7335728165197444,94.95002945798046,-0.206,6428.5302,current_only,False,False,False,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,False
current187_noF1,244.01,2.3937970267096604,137.7296547398861,-0.336,6523.466299999999,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,245.01,2.2498675411699054,150.5435811843293,-0.334,6984.584500000001,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,246.01,2.272600294731405,151.12937494316725,-0.338,7011.7091,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,248.01,2.922337424121136,172.82163664490025,-0.457,7106.6452,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,249.01,2.5571823088638674,210.4080296850217,-0.456,7364.3289,current_only,False,False,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,252.01,1.6447866576986638,87.12621807254561,-0.202,7974.6324,current_only,False,False,False,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,False
current187_noF1,254.01,2.339446636001019,127.72429570818736,-0.333,8408.626,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,255.01,2.899717847195624,170.60553217374678,-0.457,8652.7474,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,257.01,1.588015902634939,82.08617522396969,-0.202,9412.2362,current_only,False,False,False,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,False
current187_noF1,258.01,2.3619771871542,122.73516379156324,-0.335,9873.3544,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,259.01,2.941271632824189,162.25628229717415,-0.459,10524.3448,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,272.01,2.2326316911378354,243.26589391747268,-0.396,5262.1724,current_only,False,False,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,273.01,2.210148917856386,228.42993276673863,-0.382,5262.1724,current_only,False,False,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,276.01,2.137501069429112,211.51032294147768,-0.351,5289.297,current_only,False,False,False,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,False
current187_noF1,279.01,2.317854111994885,256.20145638583585,-0.428,5357.1085,current_only,False,False,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,280.01,2.4936701195505564,226.2681850502805,-0.449,5357.1085,current_only,False,False,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,284.01,2.237871948173272,181.1176701054545,-0.379,10497.2202,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,285.01,2.221968376122025,170.60553217374678,-0.364,10497.2202,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,286.01,1.6226707342925482,127.1512248790649,-0.214,10497.2202,current_only,False,False,False,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,False
current187_noF1,41.01,3.6053610399898135,123.30541643666328,-0.409,5180.7986,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,44.01,2.4234011937527216,71.4946974008999,-0.257,7635.5749,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
current187_noF1,46.01,2.862189847867258,69.83293932221864,-0.275,10144.6004,current_only,False,True,True,x<=-0.20,G>4200,A_deep_subcooled_highG_PWR_out_candidate,G>4200,True,True
